n	otype	in.subphrase	in.phrase_atom	in.phrase	in.clause_atom	in.clause	in.sentence_atom	in.sentence	in.half_verse	in.verse	in.chapter	in.book	distributional_parent	functional_parent	mother	book	chapter	code	det	dist	dist_unit	domain	freq_lex	freq_occ	function	g_cons	g_cons_utf8	g_lex	g_lex_utf8	g_nme	g_nme_utf8	g_pfm	g_pfm_utf8	g_prs	g_prs_utf8	g_uvf	g_uvf_utf8	g_vbe	g_vbe_utf8	g_vbs	g_vbs_utf8	g_word	g_word_utf8	gloss	gn	instruction	is_root	kind	kq_hybrid	kq_hybrid_utf8	label	language	languageISO	lex	lex0	lex_utf8	lexeme_count	ls	mother_object_type	nametype	nme	nu	number	pargr	pdp	pfm	phono	phono_trailer	prs	prs_gn	prs_nu	prs_ps	ps	qere	qere_trailer	qere_trailer_utf8	qere_utf8	rank_lex	rank_occ	rela	root	sp	st	suffix_gender	suffix_number	suffix_person	tab	trailer	trailer_utf8	txt	typ	uvf	vbe	vbs	verse	voc_lex	voc_lex_utf8	vs	vt
11235	word		911614	658097	517895	429682	1237644	1173906	607524	1414952	426647	426585	911614	658097									50272	50238		W	ו	WA-	וַ													WA-	וַ	and	NA							Hebrew	hbo	W	W	ו		none			n/a	NA	11235		conj	n/a	wa		n/a	NA	NA	NA	NA									conj	NA	NA	NA	NA						absent	n/a	n/a		W:	וְ	NA	NA
658098	phrase		911615		517895	429682	1237644	1173906	607524	1414952	426647	426585		429682					NA		clause_atoms				Rela																																						2																	NA											CP								
911615	phrase_atom			658098	517895	429682	1237644	1173906	607524	1414952	426647	426585	517895	658098					NA		clause_atoms																																										6867																	NA											CP								
11236	word		911615	658098	517895	429682	1237644	1173906	607524	1414952	426647	426585	911615	658098									5500	5547		>CR	אשׁר	>:ACER	אֲשֶׁר													>:ACE63R	אֲשֶׁ֨ר	<relative>	NA							Hebrew	hbo	>CR	>CR	אשׁר		none			n/a	NA	11236		conj	n/a	ʔᵃšˌer	 	n/a	NA	NA	NA	NA					9	8			conj	NA	NA	NA	NA		 	 			absent	n/a	n/a		>:ACER	אֲשֶׁר	NA	NA
658099	phrase		911616		517895	429682	1237644	1173906	607524	1414952	426647	426585		429682					NA		clause_atoms				Pred																																						3																	NA											VP								
911616	phrase_atom			658099	517895	429682	1237644	1173906	607524	1414952	426647	426585	517895	658099					NA		clause_atoms																																										6868																	NA											VP								
11237	word		911616	658099	517895	429682	1237644	1173906	607524	1414952	426647	426585	911616	658099									1138	1308		DBR	דבר	D.IB.ER	דִּבֶּר									[				D.IB.ER	דִּבֶּר	speak	m							Hebrew	hbo	DBR[	DBR	דבר		quot			absent	sg	11237		verb	absent	dibber-		absent	unknown	unknown	unknown	p3					38	29			verb	NA	unknown	unknown	unknown		&	־			absent		absent		DBR	דבר	piel	perf
658100	phrase		911617		517895	429682	1237644	1173906	607524	1414952	426647	426585		429682					det		clause_atoms				Cmpl																																						4																	NA											PP								
911617	phrase_atom			658100	517895	429682	1237644	1173906	607524	1414952	426647	426585	517895	658100					det		clause_atoms																																										6869																	NA											PP								
11238	word		911617	658100	517895	429682	1237644	1173906	607524	1414952	426647	426585	911617	658100									20069	752		LJ	לי	L	ל					#NAME?	ִי							LI61J	לִ֜י	to	NA							Hebrew	hbo	L	L	ל		none			n/a	NA	11238		prep	n/a	lˈî	 	J	unknown	sg	p1	NA					2	47			prep	NA	unknown	sg	p1		 	 			absent	n/a	n/a		L:	לְ	NA	NA
