n	otype	in.subphrase	in.phrase_atom	in.phrase	in.clause_atom	in.clause	in.sentence_atom	in.sentence	in.half_verse	in.verse	in.chapter	in.book	distributional_parent	functional_parent	mother	book	chapter	code	det	dist	dist_unit	domain	freq_lex	freq_occ	function	g_cons	g_cons_utf8	g_lex	g_lex_utf8	g_nme	g_nme_utf8	g_pfm	g_pfm_utf8	g_prs	g_prs_utf8	g_uvf	g_uvf_utf8	g_vbe	g_vbe_utf8	g_vbs	g_vbs_utf8	g_word	g_word_utf8	gloss	gn	instruction	is_root	kind	kq_hybrid	kq_hybrid_utf8	label	language	languageISO	lex	lex0	lex_utf8	lexeme_count	ls	mother_object_type	nametype	nme	nu	number	pargr	pdp	pfm	phono	phono_trailer	prs	prs_gn	prs_nu	prs_ps	ps	qere	qere_trailer	qere_trailer_utf8	qere_utf8	rank_lex	rank_occ	rela	root	sp	st	suffix_gender	suffix_number	suffix_person	tab	trailer	trailer_utf8	txt	typ	uvf	vbe	vbs	verse	voc_lex	voc_lex_utf8	vs	vt
907858	phrase_atom			654517	516687	428506	1236731	1173001	606944	1414653	426635	426585	516687	654517					det		clause_atoms																																										3110																	NA											PP								
5500	word		907858	654517	516687	428506	1236731	1173001	606944	1414653	426635	426585	907858	654517									5517	4839		>L	אל	>EL	אֶל													>EL	אֶל	to	NA							Hebrew	hbo	>L	>L	אל		none			n/a	NA	5500		prep	n/a	ʔel-		absent	unknown	unknown	unknown	NA					8	11			prep	NA	unknown	unknown	unknown		&	־			absent	n/a	n/a		>EL	אֶל	NA	NA
5501	word		907858	654517	516687	428506	1236731	1173001	606944	1414653	426635	426585	907858	654517									30386	24664		H	ה	H@-	הָ													H@-	הָ	the	NA							Hebrew	hbo	H	H	ה		none			n/a	NA	5501		art	n/a	hā		n/a	NA	NA	NA	NA					1	1			art	NA	NA	NA	NA						absent	n/a	n/a		HA	הַ	NA	NA
5502	word		907858	654517	516687	428506	1236731	1173001	606944	1414653	426635	426585	907858	654517									2504	2157		>RY	ארץ	>@REY	אָרֶץ	/	֜											>@73REY	אָ֖רֶץ	earth	unknown							Hebrew	hbo	>RY/	>RY	ארץ		none				sg	5502		subs	n/a	ʔˌāreṣ	 	absent	unknown	unknown	unknown	NA					22	19			subs	a	unknown	unknown	unknown		 	 			absent	n/a	n/a		>EREY	אֶרֶץ	NA	NA
428507	clause				516688		1236731	1173001	606944	1414653	426635	426585		1173001	654517					-2	phrase_atoms	Q																										VC											phrase				2																	Attr										NQ	xYq0								
516688	clause_atom					428507	1236731	1173001	606944	1414653	426635	426585	1236731	428507	516687			11		-1																										..	FALSE																1015	1.1																							4				xYq0								
654518	phrase		907859		516688	428507	1236731	1173001	606944	1414653	426635	426585		428507					NA		clause_atoms				Rela																																						1																	NA											CP								
907859	phrase_atom			654518	516688	428507	1236731	1173001	606944	1414653	426635	426585	516688	654518					NA		clause_atoms																																										3111																	NA											CP								
5503	word		907859	654518	516688	428507	1236731	1173001	606944	1414653	426635	426585	907859	654518									5500	5547		>CR	אשׁר	>:ACER	אֲשֶׁר													>:ACE71R	אֲשֶׁ֥ר	<relative>	NA							Hebrew	hbo	>CR	>CR	אשׁר		none			n/a	NA	5503		conj	n/a	ʔᵃšˌer	 	n/a	NA	NA	NA	NA					9	8			conj	NA	NA	NA	NA		 	 			absent	n/a	n/a		>:ACER	אֲשֶׁר	NA	NA
654519	phrase		907860		516688	428507	1236731	1173001	606944	1414653	426635	426585		428507					NA		clause_atoms				PreO																																						2																	NA											VP								
907860	phrase_atom			654519	516688	428507	1236731	1173001	606944	1414653	426635	426585	516688	654519					NA		clause_atoms																																										3112																	NA											VP								
5504	word		907860	654519	516688	428507	1236731	1173001	606944	1414653	426635	426585	907860	654519									1298	6		>R>K	אראך	R:>	רְא			!>A!	אַ	+K.@	כָּ	~E	ֶ	[		]]		>AR:>E75K.@	אַרְאֶֽךָּ	see	unknown							Hebrew	hbo	R>H[	R>H	ראה		none			absent	sg	5504		verb	>	ʔarʔˈekkā	 . 	K	m	sg	p2	p1					33	4554			verb	NA	m	sg	p2		0	׃ 			N		H		R>H	ראה	hif	impf
